Day,TotalInfected,TotalCovered,ActiveInfected,TotalTestCount,TotalDeath,NewlyInfected,NewlyCovered,TodayTestCount,TodayDeath
2020-09-05,37192,34565,2082,956492,545,161,146,7179,2
2020-09-06,37329,34705,2076,963104,548,137,140,6612,3
2020-09-07,37418,34837,2030,967040,551,89,132,3936,3
2020-09-08,37557,34965,2040,973838,552,139,128,6798,1
2020-09-09,37732,35119,2058,980978,555,175,154,7140,3
2020-09-10,37874,35269,2049,988268,556,142,150,7290,1
2020-09-11,38037,35440,2040,995376,557,163,171,7108,1
2020-09-12,38172,35607,2006,1002727,559,135,167,7351,2
2020-09-13,38327,35756,2009,1009478,562,155,149,6751,3
2020-09-14,38403,35860,1979,1013108,564,76,104,3630,2
2020-09-15,38517,35998,1953,1020029,566,114,138,6921,2
2020-09-16,38658,36149,1940,1027685,569,141,151,7656,3
2020-09-17,38777,36289,1917,1035286,571,119,140,7601,2
2020-09-18,38894,36424,1898,1041184,572,117,135,5898,1
2020-09-19,39042,36601,1867,1047906,574,148,177,6722,2
2020-09-20,39188,36755,1858,1054792,575,146,154,6886,1
2020-09-21,39280,36836,1868,1057803,576,92,81,3011,1
2020-09-22,39378,36949,1851,1064475,578,98,113,6672,2
2020-09-23,39524,37122,1822,1073255,580,146,173,8780,2
2020-09-24,39686,37255,1850,1080873,581,162,133,7618,1
2020-09-25,39787,37392,1812,1087578,583,101,137,6705,2
2020-09-26,39895,37523,1787,1095543,585,108,131,7965,2
2020-09-27,40023,37655,1782,1102401,586,128,132,6858,1
2020-09-28,40061,37725,1748,1104783,588,38,70,2382,2
2020-09-29,40119,37827,1702,1110279,590,58,102,5496,2
2020-09-30,40229,37954,1684,1115748,591,110,127,5469,1
2020-10-01,40309,38068,1648,1121290,593,80,114,5542,2
2020-10-02,40453,38217,1642,1126538,594,144,149,5248,1
2020-10-03,40561,38354,1612,1132327,595,108,137,5789,1
2020-10-04,40691,38496,1599,1137121,596,130,142,4794,1
2020-10-05,40788,38587,1603,1140194,598,97,91,3073,2
2020-10-06,40931,38713,1618,1145397,600,143,126,5203,2
2020-10-07,41113,38858,1653,1150658,602,182,145,5261,2
2020-10-08,41304,39012,1689,1156938,603,191,154,6280,1
2020-10-09,41519,39129,1785,1162062,605,215,117,5124,2
2020-10-10,41752,39235,1909,1169656,608,233,106,7594,3
2020-10-11,41982,39357,2016,1176720,609,230,122,7064,1
2020-10-12,42104,39404,2091,1180271,609,122,47,3551,0
2020-10-13,42381,39468,2301,1187136,612,277,64,6865,3
2020-10-14,42750,39570,2564,1193870,616,369,102,6734,4
2020-10-15,43280,39671,2990,1201924,619,530,101,8054,3
2020-10-16,43789,39800,3368,1209802,621,509,129,7878,2
2020-10-17,44317,39903,3791,1218935,623,528,103,9133,2
2020-10-18,44964,40037,4301,1228024,626,647,134,9089,3
2020-10-19,45295,40144,4521,1232636,630,331,107,4612,4
2020-10-20,45879,40272,4972,1241664,635,584,128,9028,5
2020-10-21,46593,40448,5503,1250736,642,714,176,9072,7
2020-10-22,47418,40619,6151,1260193,648,825,171,9457,6
2020-10-23,48221,40831,6734,1270144,656,803,212,9951,8
2020-10-24,49013,41051,7298,1281497,664,792,220,11353,8
2020-10-26,50486,41410,8397,1298348,679,527,131,6814,8
2020-10-27,51149,41693,8768,1308048,688,663,283,9700,9
2020-10-28,52137,42033,9405,1319474,699,988,340,11426,11
2020-10-29,53152,42516,10636,1331287,708,1015,483,11813,9
2020-10-30,54174,42996,10460,1341466,718,1022,480,10179,10
2020-10-31,55269,43543,10996,1352907,730,1095,547,11441,12
2020-11-01,56444,44157,11547,1363539,740,1175,614,10632,10
2020-11-02,57040,44479,11808,1368620,753,596,322,5081,13
2020-11-03,58282,45030,12484,1379779,768,1242,551,11159,15
2020-11-04,59509,45697,13032,1391253,780,1227,667,11474,12
2020-11-05,60873,46465,13614,1404543,794,1364,768,13290,14
2020-11-06,62338,47270,14257,1417368,811,1465,805,12825,17
2020-11-07,63748,48049,14875,1429508,824,1410,779,12140,13
2020-11-08,65411,48908,15663,1441230,840,1663,859,11722,16
2020-11-09,66046,49411,15783,1447585,852,635,503,6355,12
2020-11-10,67392,50009,16516,1457177,867,1346,598,9592,15
2020-11-11,68594,51007,16702,1467842,885,1202,998,10665,18
2020-11-12,70216,51986,17325,1479638,905,1622,979,11796,20
2020-11-13,71580,53001,17652,1489382,927,1364,1015,9744,22
2020-11-14,73429,54049,18434,1502707,946,1849,1048,13325,19
2020-11-15,75688,55150,19571,1516084,967,2259,1101,13377,21
2020-11-16,77083,55755,20343,1523221,985,1395,605,7137,18
2020-11-17,79158,56894,21259,1536434,1005,2075,1139,13213,20
2020-11-18,81397,58111,22256,1549568,1030,2239,1217,13134,25
2020-11-19,83994,59465,23476,1562442,1053,2597,1354,12874,23
2020-11-20,87163,60869,25215,1576060,1079,3169,1404,13618,26
2020-11-21,89898,62243,26548,1592280,1107,2735,1374,16220,28
2020-11-22,93094,63841,28122,1607455,1131,3196,1598,15175,24
2020-11-23,95281,64475,29646,1617239,1160,2187,634,9784,29
2020-11-24,98927,65734,31999,1631597,1194,3646,1259,14358,34
2020-11-25,102396,66963,34209,1646654,1224,3469,1229,15057,30
2020-11-26,106101,68572,36273,1665832,1256,3705,1609,19178,32
2020-11-27,109813,69931,38591,1682234,1291,3712,1359,16402,35
2020-11-28,114025,71691,41011,1700654,1323,4212,1760,18420,32
2020-11-29,118195,73676,43158,1718235,1361,4170,1985,17581,38
2020-11-30,121176,74902,44882,1728577,1392,2981,1226,10342,31
2020-12-01,125602,76897,47272,1746198,1433,4426,1995,17621,41
2020-12-02,129544,79162,48912,1763609,1470,3942,2265,17411,37
2020-12-03,133733,81234,50989,1781218,1510,4189,2072,17609,40
2020-12-04,138000,83800,52649,1797026,1551,4267,2566,15808,41
2020-12-05,142323,85980,54750,1817804,1593,4323,2180,20778,42
2020-12-06,146679,88497,56550,1837001,1632,4356,2517,19197,39
2020-12-07,149765,90278,57812,1847191,1675,3086,1781,10190,43
2020-12-08,154152,93411,59028,1865512,1713,4387,3133,18321,38
2020-12-09,158555,96330,60470,1884578,1755,4403,2919,19066,42
2020-12-10,162774,99892,61089,1902584,1793,4219,3562,18006,38
2020-12-11,167155,103550,61765,1918866,1840,4381,3658,16282,47
2020-12-12,171423,107635,61905,1938244,1883,4268,4085,19378,43
2020-12-13,175874,111918,62034,1953303,1922,4451,4283,15059,39
2020-12-14,178986,114841,62179,1963348,1966,3112,2923,10045,44
2020-12-15,183259,119005,62247,1980579,2007,4273,4164,17231,41
2020-12-16,187336,122859,62427,1998577,2050,4077,3854,17998,43
2020-12-17,191460,127064,62308,2016003,2088,4124,4205,17426,38
2020-12-18,195422,131252,62037,2031308,2133,3962,4188,15305,45
2020-12-19,199127,135462,61490,2049239,2175,3705,4210,17931,42
2020-12-20,202088,139779,60099,2063754,2210,2961,4317,14515,35
2020-12-21,203593,142807,58533,2073137,2253,1505,3028,9383,43
2020-12-22,205877,147199,56384,2088358,2294,2284,4392,15221,41
2020-12-23,208211,151660,54211,2102957,2340,2334,4461,14599,46
2020-12-24,210061,155886,51795,2115991,2380,1850,4226,13034,40
2020-12-25,211764,160245,49103,2129291,2416,1703,4359,13300,36
2020-12-26,213192,164500,46238,2141798,2454,1428,4255,12507,38
2020-12-27,214711,168971,43241,2153562,2499,1519,4471,11764,45
2020-12-28,215483,172019,40926,2163064,2538,772,3048,9502,39
2020-12-29,216584,176228,37781,2174343,2575,1101,4209,11279,37
2020-12-30,217636,180295,34732,2185247,2609,1052,4067,10904,34
2020-12-31,218700,184422,31637,2195466,2641,1064,4127,10219,32
2021-01-01,219041,188280,28091,2199939,2670,341,3858,4473,29
2021-01-02,219462,191925,24834,2204226,2703,421,3645,4287,33
2021-01-03,220265,194843,22689,2210426,2733,803,2918,6200,30
2021-01-04,220599,196734,21104,2214194,2761,334,1891,3768,28
2021-01-05,221401,199213,19396,2222629,2792,802,2479,8435,31
2021-01-06,222200,201596,17786,2231993,2818,799,2383,9364,26
2021-01-07,222885,203527,16513,2241908,2845,685,1931,9915,27
2021-01-08,223417,205406,15142,2250291,2869,532,1879,8383,24
2021-01-09,224050,207088,14072,2259555,2890,633,1682,9264,21
2021-01-10,224651,208681,13061,2267923,2909,601,1593,8368,19
2021-01-11,224827,209522,12379,2272009,2926,176,841,4086,17
2021-01-12,225346,210798,11607,2279907,2941,519,1276,7898,15
2021-01-13,225820,212120,10743,2287959,2957,474,1322,8052,16
2021-01-14,226200,213279,9950,2295612,2971,380,1159,7653,14
2021-01-15,226549,213773,9793,2302843,2983,349,494,7231,12
2021-01-16,226951,214423,9530,2311417,2998,402,650,8574,15
2021-01-17,227273,215268,8996,2318193,3009,322,845,6776,11
2021-01-18,227391,215771,8598,2321592,3022,118,503,3399,13
2021-01-19,227696,216720,7944,2328507,3032,305,949,6915,10
